index,place_name,category,address,phone,api_distance,haversine_m,lat,lon
43,현대오일뱅크직영 호수공원셀프주유소,HD현대오일뱅크주유소,경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
8,광교신도시충전소,LPG충전소,경기 수원시 영통구 하동 1033,031-216-7149,3448,3448,37.27766518,127.0668328
16,동수원톨게이트충전소,LPG충전소,경기 수원시 영통구 이의동 432-1,031-257-7332,897,897,37.295772355620215,127.04854864228184
21,북문가스충전소,LPG충전소,경기 수원시 장안구 영화동 365-1,031-256-5683,2810,2807,37.28831929,127.0121433
24,수원충전소,LPG충전소,경기 수원시 장안구 송죽동 202-1,031-243-2690,3224,3217,37.30534043031067,127.00430660699013
25,수원해월LPG충전소,LPG충전소,경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
45,희망충전소,LPG충전소,경기 수원시 영통구 이의동 1175-85,031-251-0707,872,873,37.29342897,127.0352008
7,SK영화셀프주유소,SK주유소,경기 수원시 장안구 영화동 390-1,031-244-2722,3340,3334,37.29071930109848,127.00436554456286
13,대호주유소,SK주유소,경기 수원시 영통구 이의동 27-1,031-243-6022,1517,1514,37.29645358871978,127.05655562870162
17,동일석유 금호주유소,SK주유소,경기 수원시 장안구 조원동 774-28,031-258-2892,2275,2271,37.29698698,127.0147658
19,미래주유소,SK주유소,경기 수원시 영통구 이의동 1282,031-245-5188,530,531,37.29592594,127.0375253
20,법원주유소,SK주유소,경기 수원시 영통구 원천동 90-11,031-214-5182,3071,3076,37.27361539,127.0495649
23,수원고속주유소,SK주유소,경기 수원시 영통구 매탄동 1-1,031-213-7777,3569,3574,37.27121505,127.0574511
30,월드컵주유소,SK주유소,경기 수원시 영통구 이의동 1357,031-214-5189,1392,1395,37.28780062879308,127.04213134622859
35,청담에너지,SK주유소,경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.26897398,127.0239106
37,팔달주유소,SK주유소,경기 수원시 팔달구 인계동 740-9,031-223-8855,3096,3100,37.27554438,127.0238585
1,C&S유통 구도일주유소일류,S-oil주유소,경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.30691371,126.9991427
12,대원주유소,S-oil주유소,경기 수원시 장안구 영화동 37-317,031-255-8061,1971,1969,37.29168980629408,127.02061564950033
27,오일나우 두번째 주유소,S-oil주유소,경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.29693743,126.9980285
28,원일유통구도일 광교신도시주유소,S-oil주유소,경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
29,원천주유소,S-oil주유소,경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
32,조은기름주유소,S-oil주유소,경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
36,케이아이에스정보통신 장안공원주유소,S-oil주유소,경기 수원시 장안구 영화동 438-8,031-248-9320,3007,3003,37.28744366666557,127.01021251814257
38,푸른현대주유소,S-oil주유소,경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
