place_name,category,address,phone,api_distance,haversine_m,lat,lon
대원주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 영화동 37-317,031-255-8061,1971,1969,37.29168980629408,127.02061564950033
드림에너지 배트맨주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 영화동 66-3,031-258-0445,2126,2122,37.29463584775849,127.01717549067041
효현 아주주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 우만동 22,031-216-5189,2009,2014,37.282132013339,127.04005335053
하늘에너지 평화주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 지동 472-1,031-258-6600,2073,2075,37.2842763563458,127.027961460298
동일석유 금호주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 장안구 조원동 774-28,031-258-2892,2275,2271,37.2969869792438,127.014765810133
대성산업 수원주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 장안구 조원동 763-23,031-243-3535,2358,2353,37.2981836927799,127.013629153415
대명에너지 광교셀프직영점,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 상현동 493-9,031-263-5188,2404,2398,37.2991817751802,127.067190219097
HD현대오일뱅크직영 수지현대셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 상현동 373-3,031-261-1374,2692,2686,37.3013567867291,127.070445060448
북문가스충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > HD현대오일뱅크 LPG충전소",경기 수원시 장안구 영화동 365-1,031-256-5683,2810,2807,37.2883192937805,127.012143293902
HD현대오일뱅크직영 동수원현대셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 원천동 73-1,031-216-9663,2932,2937,37.2742762990602,127.046227947871
종로주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 팔달구 팔달로1가 7-4,,2965,2965,37.2809121526146,127.017017889108
케이아이에스정보통신 장안공원주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 영화동 438-8,031-248-9320,3007,3003,37.28744366666557,127.01021251814257
법원주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 영통구 원천동 90-11,031-214-5182,3071,3076,37.2736153872589,127.0495649467
팔달주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 740-9,031-223-8855,3096,3100,37.2755443774202,127.023858531839
수원충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > SK LPG충전소",경기 수원시 장안구 송죽동 202-1,031-243-2690,3224,3217,37.30534043031067,127.00430660699013
HD현대오일뱅크직영 송죽현대셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 200-5,031-258-7211,3302,3295,37.3054539892467,127.003438071725
HD현대오일뱅크 수원제일주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 팔달구 인계동 369-7,031-216-5160,3185,3192,37.2717787287031,127.035447772869
수원고속주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 영통구 매탄동 1-1,031-213-7777,3569,3574,37.2712150543756,127.057451119533
SK영화셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 장안구 영화동 390-1,031-244-2722,3340,3334,37.29071930109848,127.00436554456286
광교신도시충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > SK LPG충전소",경기 수원시 영통구 하동 1033,031-216-7149,3448,3448,37.2776651833922,127.066832821231
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
C&S유통 구도일주유소일류,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.306913713971,126.99914272145
수지주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.3158090428866,127.08216402928
한미석유 매탄동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.2639344196215,127.049991506516
지에스이앤알직영 흥덕주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.2759036240478,127.077240666886
원일유통구도일 광교신도시주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
수원해월LPG충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > E1 LPG충전소",경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
C&S유통 구도일주유소일류,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.306913713971,126.99914272145
수지주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.3158090428866,127.08216402928
한미석유 매탄동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.2639344196215,127.049991506516
지에스이앤알직영 흥덕주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.2759036240478,127.077240666886
원일유통구도일 광교신도시주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
수원해월LPG충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > E1 LPG충전소",경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
C&S유통 구도일주유소일류,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.306913713971,126.99914272145
수지주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.3158090428866,127.08216402928
한미석유 매탄동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.2639344196215,127.049991506516
지에스이앤알직영 흥덕주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.2759036240478,127.077240666886
원일유통구도일 광교신도시주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
수원해월LPG충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > E1 LPG충전소",경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
C&S유통 구도일주유소일류,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.306913713971,126.99914272145
수지주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.3158090428866,127.08216402928
한미석유 매탄동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.2639344196215,127.049991506516
지에스이앤알직영 흥덕주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.2759036240478,127.077240666886
원일유통구도일 광교신도시주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
수원해월LPG충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > E1 LPG충전소",경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
C&S유통 구도일주유소일류,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.306913713971,126.99914272145
수지주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.3158090428866,127.08216402928
한미석유 매탄동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.2639344196215,127.049991506516
지에스이앤알직영 흥덕주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.2759036240478,127.077240666886
원일유통구도일 광교신도시주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
수원해월LPG충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > E1 LPG충전소",경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
C&S유통 구도일주유소일류,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.306913713971,126.99914272145
수지주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.3158090428866,127.08216402928
한미석유 매탄동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.2639344196215,127.049991506516
지에스이앤알직영 흥덕주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.2759036240478,127.077240666886
원일유통구도일 광교신도시주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
수원해월LPG충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > E1 LPG충전소",경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
C&S유통 구도일주유소일류,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 파장동 606,031-257-1150,3706,3699,37.306913713971,126.99914272145
수지주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.3158090428866,127.08216402928
한미석유 매탄동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.2639344196215,127.049991506516
지에스이앤알직영 흥덕주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.2759036240478,127.077240666886
원일유통구도일 광교신도시주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 영통구 하동 2,031-213-8737,4246,4237,37.29474981176504,127.0875083966927
수원해월LPG충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > E1 LPG충전소",경기 수원시 영통구 원천동 294-1,031-211-3121,4365,4368,37.267921466776976,127.06817259833012
현대오일뱅크직영 호수공원셀프주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 영통구 하동 1030,031-217-5144,3414,3413,37.27924209653582,127.06824820680272
대신주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
인계동주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
오일나우 두번째 주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 장안구 정자동 23-2,031-245-0396,3748,3740,37.2969374258039,126.998028519763
푸른현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 화서동 71-10,031-245-8669,3814,3811,37.280770920009786,127.00465702033833
조은기름주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 수원시 팔달구 인계동 977-1,031-223-5001,3738,3744,37.268500494121824,127.02597925013696
원천주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > S-oil주유소",경기 용인시 기흥구 영덕동 1288,031-215-5189,4116,4119,37.26919253933672,127.06550623318063
HD현대오일뱅크직영 성복현대주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > HD현대오일뱅크주유소",경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140297972463,127.080420300049
청담에너지,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 팔달구 인계동 975-2,031-238-5189,3755,3760,37.2689739767441,127.023910575341
