index,place_name,category,address,phone,api_distance,haversine_m,lat,lon
18,몽소 베이커리앤카페 광교점,제과&베이커리,경기 수원시 영통구 이의동 1250,031-212-5310,509,508,37.300323668477674,127.04584912018106
19,방콕스토리,아시아음식,경기 수원시 영통구 이의동 1271,031-216-1337,359,359,37.299011610709286,127.04386325498997
20,배대감갈비촌 본점,한식 - 육류,경기 수원시 영통구 이의동 1245-6,031-217-9588,737,736,37.29879456,127.0482325
21,상원회관 광교점,한식 - 육류,경기 수원시 영통구 이의동 1276-9,031-214-2580,366,367,37.297601951334784,127.04259472297686
22,석기정돌솥부대찌개 경기대점,한식 - 일반,경기 수원시 영통구 이의동 1258-4,031-211-5545,333,333,37.29927568,127.0436762
23,송도갈비 광교월드마크점,한식 - 육류,경기 수원시 영통구 이의동 1331,031-216-9163,1198,1199,37.291627695138764,127.04827418646089
24,수원조개창고,한식 - 해물,경기 수원시 영통구 이의동 1275-4,010-9283-1248,318,319,37.2983065,127.0427666
25,스이센 광교,일식,경기 수원시 영통구 이의동 1262-5,0502-5550-5039,488,487,37.298839862135885,127.0453271401458
26,써브웨이 광교경기대후문점,패스트푸드,경기 수원시 영통구 이의동 1258-4,070-7750-2040,329,328,37.29944147187834,127.04368304278883
27,어랑다랑,한식 - 해물,경기 수원시 영통구 이의동 1274-5,031-211-8844,356,356,37.29820542,127.0432154
28,역북집 경기대점,한식 - 육류,경기 수원시 영통구 이의동 1262-4,031-211-0160,488,488,37.29896058,127.0453836
29,역전할머니맥주 수원경기대점,호프,경기 수원시 영통구 이의동 1262,031-216-3801,471,470,37.29892913,127.0451648
30,오늘의초밥,일식,경기 수원시 영통구 이의동 1306-20,031-212-9468,1447,1445,37.29533512566833,127.0552318525986
31,유가네닭갈비 경기대점,한식 - 육류,경기 수원시 영통구 이의동 1258-1,031-211-9992,370,370,37.29985573,127.044263
32,이찌방회전초밥,일식,경기 수원시 영통구 이의동 1258-4,031-211-5211,341,341,37.29915132769736,127.04371107204399
33,조선부뚜막 광교역점,한식 - 육류,경기 수원시 영통구 이의동 1272-2,031-211-9849,392,392,37.29855834,127.0439983
34,중화식탁,중식,경기 수원시 영통구 이의동 1256-3,,247,247,37.29992652438814,127.0428768793495
35,진배기고깃간 광교점,한식 - 육류,경기 수원시 영통구 이의동 1263-13,031-215-1192,535,534,37.29913424788148,127.04598374401571
36,징기스칸램 광교점,한식 - 육류,경기 수원시 영통구 이의동 1242-4,031-214-2920,628,628,37.29850318,127.0468608
37,착한고기 광교점,한식 - 육류,경기 수원시 영통구 이의동 1275-9,031-217-9234,332,332,37.29783451,127.0423354
38,춘천에서 온 숯닭,한식 - 육류,경기 수원시 영통구 이의동 1275-10,031-212-8122,336,337,37.29770481,127.042191
39,카타르시스,호프,경기 수원시 영통구 이의동 1276,,359,360,37.29789557,127.0429129
40,키친토리노,양식,경기 수원시 영통구 이의동 1275-11,031-548-2204,337,338,37.297606663319854,127.04201613395875
41,화이트리에 광교,제과&베이커리,경기 수원시 영통구 이의동 1283,,566,567,37.29554387,127.0376108
42,황가네짬뽕,중식,경기 수원시 영통구 이의동 1248-2,031-217-7333,509,509,37.30093639,127.0457931
43,황금무지개 횟집,한식 - 해물,경기 수원시 영통구 이의동 1277-4,031-215-0888,427,427,37.29743496532247,127.0434044297477
44,황금입은동까스,일식,경기 수원시 영통구 이의동 1257-3,031-203-7768,295,295,37.29993534,127.0434239
45,희주반가72,한식 - 일반,경기 수원시 영통구 이의동 1260-3,0502-5551-5024,416,416,37.29957624,127.0447321
